 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
273,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0236-0001-0042:c:1/2 t:236/241 - 1 - Position 5.Project Maximum Z,4.0898,3.1718,4.6285,3.1718,4.6285,7.3447,2.3661,2.2008,12.2017,0.9527,236,1.0751,0.9301,0.9535
274,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0236-0002-0154:c:1/2 t:236/241 - 1 - Position 5.Project Maximum Z,4.0656,3.7475,16.9524,3.7475,16.9524,7.3713,2.4703,2.0955,60.8308,0.9402,236,1.1789,0.8482,0.9451
275,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0237-0001-0043:c:1/2 t:237/241 - 1 - Position 5.Project Maximum Z,4.0051,3.1709,4.7770,3.1709,4.7770,7.3713,2.4336,2.0955,29.8627,0.9263,237,1.1614,0.8611,0.9417
276,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0237-0002-0153:c:1/2 t:237/241 - 1 - Position 5.Project Maximum Z,3.9446,3.7434,16.9390,3.7434,16.9390,7.3447,2.3889,2.1024,55.1995,0.9189,237,1.1363,0.8800,0.9449
277,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0238-0001-0043:c:1/2 t:238/241 - 1 - Position 5.Project Maximum Z,3.4485,3.2095,4.8429,3.2095,4.8429,6.8402,2.1211,2.0701,171.3164,0.9262,238,1.0246,0.9760,0.9360
278,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0238-0002-0154:c:1/2 t:238/241 - 1 - Position 5.Project Maximum Z,3.4969,3.4437,16.9680,3.4437,16.9680,6.7491,2.2842,1.9492,62.4138,0.9647,238,1.1719,0.8534,0.9538
279,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0239-0001-0043:c:1/2 t:239/241 - 1 - Position 5.Project Maximum Z,4.0414,3.1564,4.8087,3.1564,4.8087,7.5269,2.4298,2.1177,43.2047,0.8964,239,1.1474,0.8715,0.9356
280,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0239-0002-0154:c:1/2 t:239/241 - 1 - Position 5.Project Maximum Z,4.1140,3.4346,17.0267,3.4346,17.0267,7.4091,2.3979,2.1844,69.3785,0.9418,239,1.0978,0.9109,0.9510
281,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0240-0001-0045:c:1/2 t:240/241 - 1 - Position 5.Project Maximum Z,3.7631,3.2386,4.9541,3.2386,4.9541,6.9958,2.2157,2.1625,142.6674,0.9662,240,1.0246,0.9760,0.9511
282,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0240-0002-0155:c:1/2 t:240/241 - 1 - Position 5.Project Maximum Z,4.0535,3.5816,17.0561,3.5816,17.0561,7.4091,2.4297,2.1241,65.0909,0.9279,240,1.1439,0.8742,0.9477
283,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0241-0001-0045:c:1/2 t:241/241 - 1 - Position 5.Project Maximum Z,3.8478,3.3028,4.9497,3.3028,4.9497,7.3713,2.3471,2.0874,147.7096,0.8899,241,1.1244,0.8894,0.9271
284,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0241-0002-0156:c:1/2 t:241/241 - 1 - Position 5.Project Maximum Z,4.3439,3.4690,17.1387,3.4690,17.1387,7.7202,2.6506,2.0866,85.5788,0.9159,241,1.2703,0.7872,0.9472
