"frame","particle","area","x","y","major","minor","circularity","convexity","label"
89,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.0231,4.2625,9.9496,5.4265,2.5864,0.7477,0.946,"hi"
90,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.9833,4.394,11.388,7.3829,2.2391,0.5921,0.9266,"hi"
91,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.9142,4.198,11.8563,5.9705,2.3275,0.6614,0.927,"hi"
92,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.3178,4.0178,10.0542,6.9619,2.2528,0.5916,0.9246,"hi"
93,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.2694,4.0829,9.7768,6.0507,2.5818,0.6926,0.9281,"hi"
94,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.406,4.0445,10.9949,5.7213,2.3158,0.6684,0.9282,"hi"
95,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.9228,3.856,14.0635,7.6033,2.164,0.5696,0.9328,"hi"
96,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.7612,4.1474,13.4612,6.4219,2.3319,0.6484,0.9315,"hi"
97,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.0067,3.9535,12.3102,5.0937,2.5013,0.7603,0.9517,"hi"
98,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.8666,3.8632,9.3316,8.3021,2.1266,0.5243,0.9287,"hi"
99,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.9107,3.6187,7.2416,7.7853,2.1115,0.5349,0.9218,"hi"
100,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.8822,3.7954,7.2686,6.5441,2.3118,0.6319,0.9317,"hi"
101,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.9263,3.7978,8.1862,5.558,2.503,0.7273,0.9441,"hi"
102,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.3178,3.7966,8.3438,6.0988,2.5716,0.7028,0.9554,"hi"
103,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.221,3.5485,7.9347,6.6563,2.3377,0.6296,0.907,"hi"
